h_booking_id,cancel
-7608573042550119588,0
711316853737357200,0
711410331408192678,0
711610887808278984,0
712354280758625437,0
713493086220447742,0
722319831283819836,0
725265319932907109,0
725549591374480052,0
727673922192547963,0
729499378728406628,0
729586794965687692,0
733850115336995197,0
735127901788805613,0
737355597006155319,0
737402954898049747,0
738483019978986493,0
738529574952093188,1
739294732196020296,0
739482829015468733,1
742041770607345933,0
742041967100572522,0
742816253773594469,0
743212021854392103,0
744376930866211008,0
750643564149221762,0
750778946000232165,0
751257663703485773,0
752498578541323580,0
756188329110117590,0
758130741108338675,0
758750798198959743,0
766254982898236811,0
769654668319953787,0
770798422417558839,0
771778530048354841,0
774670226705034726,0
776177500007700940,0
780210562789245608,0
784573565852982300,0
785886227385420308,0
786317530129274464,0
787911470168763316,0
790249864210677249,0
795069323367200669,0
799372688052646839,1
799941825498923802,0
800062747451206648,0
804135521716573830,0
805577078190137735,0
805771682947199732,0
807221320388481114,0
817746024955749466,0
821646506187436273,0
822979390547037837,0
823126402583403977,0
824328079223591128,1
824548351997848604,0
827363409952331639,0
829898837798327177,0
831571451325879159,0
832495414514224274,0
833966987450761855,0
836283519109857153,0
836987041071454772,0
838011348034126655,0
841288546618371836,0
843208705072350643,0
848862339181863979,0
849174205690690131,0
853426740573807365,0
867063697111655023,0
874391252832829024,0
877518862342621856,1
878467720706327095,0
880639643686095851,0
880824199420615672,1
883638298899170580,0
885848297975066131,0
888840711794286607,0
889698630751683816,0
893546025819108170,0
894195566072862811,0
898407024234077846,0
900211803633089493,0
901393315971563851,0
903708058255499203,0
903976411521986114,0
906070683619117652,0
907311924492868518,0
908456445499645242,0
909526928805738991,0
912082644235518428,0
920058586150649515,1
920135077150903867,0
928378387170964784,0
929083937764622959,1
931729544592293501,0
935208669531743536,0
936932029586277984,0
938016779968175332,0
938493817665056485,0
940394162845830141,0
942095714738214627,0
944011322331422664,0
947165229419534743,0
948601898190306992,0
950556487396696443,0
951267221171053070,0
951636824785659877,0
953537721086772702,0
957152896516867678,0
968001673611878385,0
970848077157446510,0
974563964012201196,0
975580373801086992,0
978305890050122776,0
979639072105400448,0
983310189350919680,0
983506729621863777,0
985760083617891174,0
986852611738166379,0
987298769432543997,0
992884874881446716,0
993238137851863237,0
993455163465694505,1
994563749732480904,0
997895372925600604,0
999578328169557411,0
1000077131097589417,0
1001865237610923333,0
1005398805159965368,0
1007157775864175168,0
1010669947449520349,0
1013195398734279400,0
1017007922865658907,0
1018564054039824829,0
1020575026155327699,0
1022875263236017330,0
1022962689849591790,0
1025298583885134724,0
1025620522716477573,0
1026041726654520133,0
1031416514198415476,0
1037161823185932329,0
1038592750429617414,0
1039276210607291857,0
1046237139631737997,0
1047074917590022130,0
1047447243326949789,0
1048360224448483892,1
1048954078054668612,0
1049411334425834295,0
1049464075145895197,0
1050696935015443759,0
1055108598015029646,0
1058852370093766350,0
1062017043502990153,0
1062458221764876326,0
1065062836240985973,0
1067447314858766410,0
1070539582679899542,0
1072496215668913280,0
1075231965222343648,0
1076399817119046243,0
1078641107643506278,0
1079357111240058990,0
1080500555107735309,0
1085238253615973950,1
1086003312186182610,0
1086071711045800197,0
1090370633556372920,0
1095128692328769980,0
1101554919082489175,0
1104248712871791897,0
1107108884565827912,0
1116570465768381300,0
1117582231134536870,0
1119896895095601127,0
1120548765682020934,0
1120551530240371861,0
1120644045372503177,0
1121213087382445771,0
1121634555778068217,0
1122409572798660186,0
1127749018283538347,0
1128640877316491408,0
1129751317612549660,0
1130888844234646385,0
1131967394271042786,0
1132004554333468872,0
1132619339695167073,0
1134713626298874419,0
1135115485699445537,1
1136469284036716120,0
1137720776877485714,0
1138920836012035732,0
1141143416302532702,0
1142461897364724855,0
1143916729164753595,0
