h_booking_id,cancel
5508425326206791613,0
5509221856577162759,0
5510629234087979273,0
5512166493003022806,0
5512297939957739143,0
5513412841697450442,0
5519642026493308971,0
5520846990940620256,0
5521292470801473186,0
5521966783624607087,0
5525324810592105080,0
5530620402500327935,0
5536441524699140654,1
5542785639413811663,0
5546424075029774316,0
5551307886989731010,1
5555464605022746875,0
5558977242685744571,0
5559011234641325412,0
5559278534079731845,0
5560563168546380510,0
5562637936002032350,0
5566225884175953849,0
5570754525592232112,0
5571353800450606064,0
5571551294810126151,0
5575180148383322692,1
5576305149567892054,0
5578186451068915433,0
5579057937352926716,0
5582697099272348124,0
5584302946983267662,0
5584999723806809222,0
5587340484236725635,0
5588887072277982230,0
5591300248630980674,0
5595549178634254076,0
5597937563766485583,0
5600657392881571703,0
5601738320583246660,0
5605793088259712743,0
5606047873052681244,0
5607015098134257957,1
5607606168745979993,0
5609742955922138227,0
5611117921801509734,0
5611942943560541131,0
5614742003589474255,0
5615002795585447886,0
5615842984189587122,0
5617215437517688839,0
5619855141839582495,0
5623173069542229593,0
5623538027253140655,0
5625599077190713011,0
5627186320321405165,0
5627425481148199490,0
5630044834400808539,0
5630527122093943277,0
5633348473112496029,0
5637494400602577512,0
5637834292556153546,0
5639728379977557790,1
5639762443761277948,0
5640174251820640449,0
5641370657039658839,0
5644039887028300254,0
5644833494067863345,0
5646062239311872956,0
5646963347825684446,0
5653491320909724540,0
5656556085996109022,0
5659166466030382721,0
5668200781119838204,0
5668978931075468458,0
5672331779011349485,0
5674126778650636271,0
5675405990453992663,0
5676673973284756428,0
5679951823930273388,0
5681443234530207531,0
5683191464616867471,0
5683206989316185557,0
5684651075930720369,0
5685082883910976266,0
5685547029715111909,0
5686051814262072047,0
5686500143880515956,0
5686989789796325824,0
5689527234124366321,0
5691172263523999798,0
5701089773766184340,0
5701951944098720878,0
5707458096628564710,0
5710552609009391637,0
5712226176689990015,0
5713290395812604520,0
5715739908800284068,0
5716141789868064684,0
5716439041312029416,0
